Lot Frontage,Lot Area,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Mas Vnr Area,Total Bsmt SF,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bedroom AbvGr,Kitchen AbvGr,TotRms AbvGrd,Fireplaces,Garage Area,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,After 1999,PID 9,Bath Log,Floating Village,Regular Lot Shape,Hillside,CulDSac,NH1,NH2,NH3,NH4,1 Story,Hip Roof,Stone Vnr,Has Vnr,Exter Qual Num,PConc Foundation,Has Central Air,Excellent Heating,Kitchen Qual Num,Fireplace Qu Num,Attached or BuiltIn Garage,Finished Garage,Fully Paved Drive,New Sale,Has Alley Access,Total SF,1.5P Gr Liv Area,1.5P Total SF,P3 Overall Qual,SalePrice
0.0,13517,6,8,1976,2005,289.0,725.0,725,754,0,1479,3,1,6,0,475.0,0,44,0,0,0,0,0,3,2010,0,0,0.9162907318741551,0,0,0,1,0,1,0,0,0,0,0,1,2,0,1,1,1,0,1,1,1,0,0,2204.0,56879.040419121,103470.6995433973,216,130500
43.0,11492,7,5,1996,1997,132.0,913.0,913,1209,0,2122,4,1,8,1,559.0,0,74,0,0,0,0,0,4,2009,0,0,1.0986122886681098,0,0,0,1,0,1,0,0,0,0,0,1,2,1,1,1,1,0,1,1,1,0,0,3035.0,97750.2933397133,167200.68144298933,343,220000
68.0,7922,5,7,1953,2007,0.0,1057.0,1057,0,0,1057,3,1,5,0,246.0,0,52,0,0,0,0,0,1,2010,0,0,0.4054651081081644,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,2114.0,34364.693989616724,97198.03261383432,125,109000
73.0,9802,5,5,2006,2007,0.0,384.0,744,700,0,1444,3,1,7,0,400.0,100,0,0,0,0,0,0,4,2010,1,1,0.9162907318741551,0,1,0,0,0,0,1,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0,0,1828.0,54872.0,78156.35324143521,125,174000
82.0,14235,6,8,1900,1993,0.0,676.0,831,614,0,1445,3,1,6,0,484.0,0,59,0,0,0,0,0,3,2010,0,1,0.6931471805599453,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,2121.0,54929.00986728234,97681.20372415565,216,138500
137.0,16492,6,6,1966,2002,0.0,1517.0,1888,0,0,1888,2,1,6,1,578.0,0,0,0,0,0,0,0,6,2010,0,0,0.9162907318741551,0,0,0,0,0,1,0,0,1,0,0,0,2,0,1,1,1,1,1,1,1,0,0,3405.0,82035.71826954403,198689.84655739207,216,190000
35.0,3675,6,5,2005,2006,82.0,547.0,1072,0,0,1072,2,1,5,0,525.0,0,44,0,0,0,0,0,6,2006,1,1,0.9162907318741551,0,1,0,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,0,1,1,1,0,1619.0,35098.79268578906,65143.377706410036,216,140000
0.0,12160,5,5,1959,1959,180.0,1188.0,1188,0,0,1188,3,1,6,0,531.0,0,0,0,0,0,0,0,5,2010,0,0,0.4054651081081644,0,0,0,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,1,1,1,0,0,2376.0,40947.24254452307,115816.29149649024,125,142000
0.0,15783,5,5,1952,1952,0.0,924.0,924,0,0,924,2,1,6,0,420.0,0,324,0,0,0,0,400,6,2007,0,0,0.0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1848.0,28087.168315798586,79442.50872171648,125,112500
70.0,11606,5,5,1969,1969,192.0,1040.0,1040,1040,0,2080,5,1,9,2,504.0,335,0,0,0,0,0,0,9,2007,0,0,0.8109302162163288,0,0,1,0,0,1,0,0,0,0,0,1,1,1,1,0,0,0,1,0,1,0,0,3120.0,94862.59536824828,174273.71574623638,125,135000
