PID,MS Zoning,Lot Frontage,Lot Area,Alley,Lot Shape,Land Contour,Lot Config,Neighborhood,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Mas Vnr Type,Mas Vnr Area,Exter Qual,Foundation,Bsmt Unf SF,Total Bsmt SF,Heating QC,Central Air,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Fireplaces,Fireplace Qu,Garage Type,Garage Finish,Garage Cars,Garage Area,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Misc Val,Mo Sold,Yr Sold,Sale Type,SalePrice
533352170,RL,0.0,13517,No Access,IR1,Lvl,CulDSac,Sawyer,2Story,6,8,1976,2005,Gable,BrkFace,289.0,Gd,CBlock,192.0,725.0,Ex,Y,725,754,0,1479,0.0,0.0,2,1,3,1,Gd,6,0,No Fireplace,Attchd,RFn,2.0,475.0,Y,0,44,0,0,0,0,0,3,2010,WD ,130500
531379050,RL,43.0,11492,No Access,IR1,Lvl,CulDSac,SawyerW,2Story,7,5,1996,1997,Gable,BrkFace,132.0,Gd,PConc,276.0,913.0,Ex,Y,913,1209,0,2122,1.0,0.0,2,1,4,1,Gd,8,1,TA,Attchd,RFn,2.0,559.0,Y,0,74,0,0,0,0,0,4,2009,WD ,220000
535304180,RL,68.0,7922,No Access,Reg,Lvl,Inside,NAmes,1Story,5,7,1953,2007,Gable,None,0.0,TA,CBlock,326.0,1057.0,TA,Y,1057,0,0,1057,1.0,0.0,1,0,3,1,Gd,5,0,No Fireplace,Detchd,Unf,1.0,246.0,Y,0,52,0,0,0,0,0,1,2010,WD ,109000
916386060,RL,73.0,9802,No Access,Reg,Lvl,Inside,Timber,2Story,5,5,2006,2007,Gable,None,0.0,TA,PConc,384.0,384.0,Gd,Y,744,700,0,1444,0.0,0.0,2,1,3,1,TA,7,0,No Fireplace,BuiltIn,Fin,2.0,400.0,Y,100,0,0,0,0,0,0,4,2010,WD ,174000
906425045,RL,82.0,14235,No Access,IR1,Lvl,Inside,SawyerW,1.5Fin,6,8,1900,1993,Gable,None,0.0,TA,PConc,676.0,676.0,TA,Y,831,614,0,1445,0.0,0.0,2,0,3,1,TA,6,0,No Fireplace,Detchd,Unf,2.0,484.0,N,0,59,0,0,0,0,0,3,2010,WD ,138500
535126040,RL,137.0,16492,No Access,IR1,Lvl,Corner,NAmes,1Story,6,6,1966,2002,Gable,None,0.0,Gd,CBlock,557.0,1517.0,Ex,Y,1888,0,0,1888,0.0,0.0,2,1,2,1,Gd,6,1,Gd,Attchd,Fin,2.0,578.0,Y,0,0,0,0,0,0,0,6,2010,WD ,190000
908186070,RM,35.0,3675,No Access,Reg,Lvl,Inside,Edwards,SFoyer,6,5,2005,2006,Gable,BrkFace,82.0,TA,PConc,0.0,547.0,Gd,Y,1072,0,0,1072,1.0,0.0,2,0,2,1,TA,5,0,No Fireplace,Basment,Fin,2.0,525.0,Y,0,44,0,0,0,0,0,6,2006,New,140000
535154050,RL,0.0,12160,No Access,IR1,Lvl,Inside,NAmes,1Story,5,5,1959,1959,Hip,BrkFace,180.0,TA,CBlock,188.0,1188.0,Fa,Y,1188,0,0,1188,1.0,0.0,1,0,3,1,TA,6,0,No Fireplace,Attchd,RFn,2.0,531.0,Y,0,0,0,0,0,0,0,5,2010,COD,142000
535353130,RL,0.0,15783,No Access,Reg,Lvl,Inside,OldTown,1Story,5,5,1952,1952,Gable,None,0.0,TA,CBlock,632.0,924.0,TA,Y,924,0,0,924,0.0,0.0,1,0,2,1,TA,6,0,No Fireplace,Detchd,Unf,1.0,420.0,Y,0,324,0,0,0,0,400,6,2007,WD ,112500
535426130,RL,70.0,11606,No Access,IR1,HLS,Inside,NAmes,2Story,5,5,1969,1969,Gable,BrkFace,192.0,TA,PConc,390.0,1040.0,TA,Y,1040,1040,0,2080,0.0,1.0,1,2,5,1,Fa,9,2,TA,Attchd,Unf,2.0,504.0,Y,335,0,0,0,0,0,0,9,2007,WD ,135000
527451290,RM,21.0,1680,No Access,Reg,Lvl,Inside,BrDale,2Story,6,5,1971,1971,Gable,BrkFace,232.0,TA,CBlock,96.0,483.0,TA,Y,483,504,0,987,0.0,0.0,1,1,2,1,TA,4,0,No Fireplace,Detchd,Unf,1.0,264.0,Y,0,0,0,0,0,0,0,7,2008,COD,85400
906380150,RL,64.0,7488,No Access,IR1,Lvl,Inside,CollgCr,1Story,7,5,2005,2005,Gable,None,0.0,Gd,PConc,815.0,1208.0,Ex,Y,1208,0,0,1208,0.0,0.0,2,0,2,1,Gd,6,0,No Fireplace,Attchd,RFn,2.0,632.0,Y,105,58,0,0,0,0,0,2,2006,WD ,183600
906226060,RL,120.0,26400,No Access,Reg,Bnk,FR2,SawyerW,2Story,5,7,1880,2007,Gable,None,0.0,Gd,PConc,0.0,0.0,Ex,Y,1288,728,0,2016,0.0,0.0,1,0,4,1,TA,7,1,TA,Attchd,Unf,2.0,576.0,P,0,0,0,0,0,0,0,6,2009,WD ,131000
533236070,FV,24.0,2645,Pave,Reg,Lvl,Inside,Somerst,2Story,8,5,1999,2000,Gable,BrkFace,456.0,Gd,PConc,147.0,960.0,Ex,Y,962,645,0,1607,1.0,0.0,2,1,3,1,Gd,7,0,No Fireplace,Detchd,Unf,2.0,480.0,Y,169,0,0,0,0,0,0,12,2008,ConLD,200000
907418040,RL,74.0,9627,No Access,Reg,Lvl,Inside,CollgCr,1Story,7,5,2007,2007,Gable,None,0.0,Gd,PConc,1327.0,1351.0,Ex,Y,1361,0,0,1361,0.0,0.0,2,0,3,1,Gd,6,0,No Fireplace,Attchd,RFn,2.0,610.0,Y,0,50,0,0,0,0,0,6,2008,WD ,193000
923202105,RL,93.0,10114,No Access,Reg,Lvl,Inside,Mitchel,1Story,5,5,2004,2005,Gable,None,0.0,TA,PConc,1430.0,1430.0,Ex,Y,1430,0,0,1430,0.0,0.0,2,0,3,1,Gd,7,0,No Fireplace,Attchd,RFn,2.0,624.0,Y,0,0,0,0,0,0,0,3,2010,WD ,173500
902301140,RM,34.0,4571,Grvl,Reg,Lvl,Inside,OldTown,2Story,5,5,1916,1950,Gable,None,0.0,TA,BrkTil,624.0,624.0,Fa,N,624,720,0,1344,0.0,0.0,1,0,4,1,TA,7,0,No Fireplace,Detchd,Unf,3.0,513.0,Y,0,0,96,0,0,0,0,5,2008,COD,98000
905101490,RL,80.0,8816,No Access,Reg,Lvl,Corner,Sawyer,1Story,5,6,1963,1963,Gable,None,0.0,TA,PConc,470.0,1121.0,TA,Y,1121,0,0,1121,1.0,0.0,1,0,3,1,TA,5,0,No Fireplace,Detchd,Unf,2.0,480.0,Y,0,80,0,0,0,0,0,6,2009,WD ,139000
905107140,RL,71.0,8197,No Access,Reg,Lvl,Inside,Sawyer,1Story,6,5,1977,1977,Gable,BrkFace,148.0,TA,CBlock,660.0,660.0,Ex,Y,1285,0,0,1285,0.0,0.0,1,1,3,1,TA,7,1,TA,Attchd,RFn,2.0,528.0,Y,138,0,0,0,0,0,0,4,2007,WD ,143500
528458070,FV,72.0,8640,No Access,Reg,Lvl,Inside,Somerst,2Story,7,5,2009,2009,Gable,None,0.0,TA,PConc,732.0,756.0,Ex,Y,764,783,0,1547,0.0,0.0,2,1,3,1,Gd,7,0,No Fireplace,Attchd,Unf,2.0,614.0,Y,169,45,0,0,0,0,0,6,2010,Con,215200
905106150,RL,109.0,8724,No Access,Reg,Lvl,Inside,Sawyer,1Story,5,5,1968,1968,Gable,None,0.0,TA,CBlock,402.0,894.0,Gd,Y,894,0,0,894,0.0,0.0,1,0,3,1,TA,5,1,Po,Attchd,Fin,2.0,450.0,Y,0,0,0,0,0,0,0,5,2007,WD ,129000
527131030,RL,40.0,5664,No Access,IR1,Lvl,Inside,StoneBr,1Story,8,5,2000,2000,Gable,None,0.0,Gd,PConc,343.0,1501.0,Ex,Y,1659,0,0,1659,1.0,0.0,2,0,2,1,Ex,5,1,Ex,Attchd,Fin,2.0,499.0,Y,212,59,0,0,0,0,0,10,2009,WD ,278000
528142010,RL,103.0,12867,No Access,IR1,Lvl,Corner,NridgHt,2Story,8,5,2005,2006,Gable,No Vnr,0.0,Gd,PConc,1209.0,1209.0,Ex,Y,1209,1044,0,2253,0.0,0.0,2,1,3,1,Ex,8,1,Gd,Attchd,Fin,2.0,575.0,Y,243,142,0,0,0,0,0,7,2006,New,344133
